Year,Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu
2021,Ontario,Beaches--East York,35007,109468,79273,170,51116,99.3,340,0.7,51456,64.9,"Erskine-Smith, Nathaniel Liberal/Libéral"
2021,Ontario,Davenport,35018,108473,78167,171,47307,99.1,429,0.9,47736,61.1,"Dzerowicz, Julie Liberal/Libéral"
2021,Ontario,Don Valley East/Don Valley-Est,35019,94579,64206,142,37325,98.8,470,1.2,37795,58.9,"Coteau, Michael Liberal/Libéral"
2021,Ontario,Don Valley North/Don Valley-Nord,35020,110076,74038,114,40535,99.1,355,0.9,40890,55.2,"Dong, Han Liberal/Libéral"
2021,Ontario,Don Valley West/Don Valley-Ouest,35021,102508,71385,123,47014,99.2,363,0.8,47377,66.4,"Oliphant, Rob Liberal/Libéral"
2021,Ontario,Eglinton--Lawrence,35024,114395,81074,106,49611,99,479,1,50090,61.8,"Mendicino, Marco Liberal/Libéral"
2021,Ontario,Etobicoke Centre/Etobicoke-Centre,35027,118022,90846,230,57550,99,567,1,58117,64,"Baker, Yvan Liberal/Libéral"
2021,Ontario,Etobicoke North/Etobicoke-Nord,35029,118040,71958,180,35564,98.6,494,1.4,36058,50.1,"Duncan, Kirsty Liberal/Libéral"
2021,Ontario,Etobicoke--Lakeshore,35028,129081,102792,257,64065,99.4,397,0.6,64462,62.7,"Maloney, James Liberal/Libéral"
2021,Ontario,Humber River--Black Creek,35121,108037,66934,166,32187,98.3,562,1.7,32749,48.9,"Sgro, Judy Liberal/Libéral"
2021,Ontario,Parkdale--High Park,35081,108805,80569,193,52543,99.4,297,0.6,52840,65.6,"Virani, Arif Liberal/Libéral"
2021,Ontario,Scarborough Centre/Scarborough-Centre,35094,112603,74304,131,40161,99,425,1,40586,54.6,"Zahid, Salma Liberal/Libéral"
2021,Ontario,Scarborough North/Scarborough-Nord,35096,98800,63797,103,31815,99,337,1,32152,50.4,"Chen, Shaun Liberal/Libéral"
2021,Ontario,Scarborough Southwest/Scarborough-Sud-Ouest,35098,110278,76558,110,43172,99.3,325,0.7,43497,56.8,"Blair, Bill Liberal/Libéral"
2021,Ontario,Scarborough--Agincourt,35093,105542,70055,133,36630,98.9,422,1.1,37052,52.9,"Yip, Jean Liberal/Libéral"
2021,Ontario,Scarborough--Guildwood,35095,102386,66314,186,37550,98.6,548,1.4,38098,57.5,"McKay, John Liberal/Libéral"
2021,Ontario,Scarborough--Rouge Park,35097,102275,75469,196,45720,99.2,350,0.8,46070,61,"Anandasangaree, Gary Liberal/Libéral"
2021,Ontario,Spadina--Fort York,35101,115506,91355,127,48821,99.3,350,0.7,49171,53.8,"Vuong, Kevin Liberal/Libéral"
2021,Ontario,Toronto Centre/Toronto-Centre,35108,103805,81549,135,45817,99.2,366,0.8,46183,56.6,"Ien, Marci Liberal/Libéral"
2021,Ontario,Toronto--Danforth,35109,106875,80166,117,52142,99.4,335,0.6,52477,65.5,"Dabrusin, Julie Liberal/Libéral"
2021,Ontario,Toronto--St. Paul's,35090,107900,82891,152,53698,98.9,580,1.1,54278,65.5,"Bennett, Carolyn Liberal/Libéral"
2021,Ontario,University--Rosedale,35110,104311,78886,76,47235,99.1,420,0.9,47655,60.4,"Freeland, Chrystia Liberal/Libéral"
2021,Ontario,Willowdale,35115,118801,76164,167,41104,99.1,383,0.9,41487,54.5,"Ehsassi, Ali Liberal/Libéral"
2021,Ontario,York Centre/York-Centre,35118,104319,70012,141,36858,98.6,507,1.4,37365,53.4,"Saks, Ya'ara Liberal/Libéral"
2021,Ontario,York South--Weston/York-Sud--Weston,35120,116686,76960,201,38570,99,404,1,38974,50.6,"Hussen, Ahmed Liberal/Libéral"
