EventNameEnglish,EventNameFrench,PollingDate,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,NumberOfCandidates,NumberOfNamesRegistered,NumberOfNamesRevised,TotalNumberOfNames,RuralPollingPlaces,UrbanPollingPlaces,AdvancePollingPlaces,ValidBallotsFromBoxes,RejectedBallotsFromBoxes,UnmarkedBallotsFromBoxes,DeclinedBallots,VoterTurnoutTotal,VoterTurnoutPercentageOfList,year
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2015-Feb-05,88,Sudbury,Sudbury,10,64596,760,65356,0,227,12,25795,80,30,33,25938,0.3968725136177244,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2015-Sep-03,86,Simcoe North,Simcoe North,8,96138,910,97048,0,263,14,39301,97,25,48,39471,0.4067162641167257,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2016-Feb-11,100,Whitby-Oshawa,Whitby-Oshawa,10,111105,950,112055,0,70,6,32226,17,18,28,32289,0.2881531390834857,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2016-Sep-01,83,Scarborough-Rouge River,Scarborough-Rouge River,11,88884,1234,90118,0,231,6,25113,84,30,16,25243,0.2801105217603586,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2016-Nov-17,55,Niagara West-Glanbrook,Niagara West-Glanbrook,9,101560,516,102076,0,229,7,32718,93,35,54,32900,0.3223088679023472,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2016-Nov-17,65,Ottawa-Vanier,Ottawa-Vanier,11,81556,346,81902,0,253,12,30454,105,31,17,30607,0.3737027178823471,2018
2015 - 2017 By-Elections,élection partielles de 2015 - 2017,2017-Jun-01,79,Sault Ste. Marie,Sault Ste. Marie,7,59266,-322,58944,0,166,8,25754,73,19,8,25854,0.4386197068403908,2018
2018 General Election,élection générale de 2018,2018-Jun-07,1,Ajax,Ajax,7,87146,3060,90206,0,38,4,48860,99,152,170,49281,0.5463162095647739,2018
2018 General Election,élection générale de 2018,2018-Jun-07,2,Algoma-Manitoulin,Algoma-Manitoulin,6,51566,3978,55544,0,94,17,29211,114,65,91,29481,0.530768399827164,2018
2018 General Election,élection générale de 2018,2018-Jun-07,3,Aurora-Oak Ridges-Richmond Hill,Aurora-Oak Ridges-Richmond Hill,9,78909,3070,81979,0,49,5,44998,105,209,132,45444,0.5543370863269861,2018
