EventNameEnglish,EventNameFrench,PollingDate,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,NumberOfCandidates,NumberOfNamesRegistered,NumberOfNamesRevised,TotalNumberOfNames,RuralPollingPlaces,UrbanPollingPlaces,AdvancePollingPlaces,ValidBallotsFromBoxes,RejectedBallotsFromBoxes,UnmarkedBallotsFromBoxes,DeclinedBallots,VoterTurnoutTotal,VoterTurnoutPercentageOfList,year
2000 - 2002 By Elections,élection partielles de 2000 - 2002,2000-Sep-07,95,ANCASTER-DUNDAS-FLAMBOROUGH-ALDERSHOT,ANCASTER-DUNDAS-FLAMBOROUGH-ALDERSHOT,5,71867,2331,74198,32,161,6,33899,265,60,22,34246,0.4615488288094018,2003
2000 - 2002 By Elections,élection partielles de 2000 - 2002,2001-Mar-22,65,PARRY SOUND-MUSKOKA,PARRY SOUND-MUSKOKA,6,63864,483,64347,151,46,9,26173,62,30,2,26267,0.4082086188944317,2003
2000 - 2002 By Elections,élection partielles de 2000 - 2002,2001-Jun-28,92,VAUGHAN-KING-AURORA,VAUGHAN-KING-AURORA,5,96435,6559,102994,0,265,10,35860,187,56,12,36115,0.3506514942618016,2003
2000 - 2002 By Elections,élection partielles de 2000 - 2002,2001-Sep-20,3,BEACHES-EAST YORK,BEACHES-EAST YORK,8,73889,2876,76765,0,192,5,28238,118,49,0,28405,0.3700254022015241,2003
2000 - 2002 By Elections,élection partielles de 2000 - 2002,2002-May-02,15,DUFFERIN-PEEL-WELLINGTON-GREY,DUFFERIN-PEEL-WELLINGTON-GREY,6,79408,3326,82734,151,74,5,32811,104,29,21,32965,0.3984456209055527,2003
2000 - 2002 By Elections,élection partielles de 2000 - 2002,2002-May-02,54,NIPISSING,NIPISSING,4,54854,1886,56740,53,114,9,30720,93,38,8,30859,0.5438667606626718,2003
2003 General Election,élection générale de 2003,2003-Oct-02,1,ALGOMA-MANITOULIN,ALGOMA-MANITOULIN,4,49450,2520,51970,147,39,13,29827,125,26,76,30054,0.5782951702905522,2003
2003 General Election,élection générale de 2003,2003-Oct-02,2,BARRIE-SIMCOE-BRADFORD,BARRIE-SIMCOE-BRADFORD,5,98016,11192,109208,53,272,4,60887,216,61,21,61185,0.5602611530290821,2003
2003 General Election,élection générale de 2003,2003-Oct-02,3,BEACHES-EAST YORK,BEACHES-EAST YORK,4,69458,5548,75006,0,195,5,41461,169,77,21,41728,0.5563288270271711,2003
2003 General Election,élection générale de 2003,2003-Oct-02,4,BRAMALEA-GORE-MALTON-SPRINGDALE,BRAMALEA-GORE-MALTON-SPRINGDALE,6,79542,6484,86026,0,225,6,42333,384,111,28,42856,0.4981749703577988,2003
2003 General Election,élection générale de 2003,2003-Oct-02,5,BRAMPTON CENTRE,BRAMPTON CENTRE,5,71656,5135,76791,0,211,4,38320,180,67,24,38591,0.502545871260955,2003
2003 General Election,élection générale de 2003,2003-Oct-02,6,BRAMPTON WEST-MISSISSAUGA,BRAMPTON WEST-MISSISSAUGA,6,107173,17144,124317,0,362,5,62642,379,147,29,63197,0.5083536443125236,2003
2003 General Election,élection générale de 2003,2003-Oct-02,7,BRANT,BRANT,5,73784,5863,79647,23,196,3,44425,199,70,17,44711,0.561364520948686,2003
2003 General Election,élection générale de 2003,2003-Oct-02,8,TORONTO-DANFORTH,TORONTO-DANFORTH,6,64655,5185,69840,0,181,5,38719,195,83,17,39014,0.5586197021764032,2003
